X,Y,id,local,X,Y,Categoria,icon_url
-45.9566654737866,-20.4706776597228,,Clínicas Médicas,,,Saúde,./1.png
-45.9578668209134,-20.4708201817324,,Clínica Médica Dr. Wallace Costa Mota,,,Saúde,./1.png
-45.95896779439,-20.4706350500241,,Clínica de Olhos Dr. Roberto Santos,,,Saúde,./1.png
-45.9588721257546,-20.4706365193243,,Unimed Piumhi,,,Saúde,./1.png
-45.9581648051877,-20.4688689410731,,Clínica WS Médicos Associados,,,Saúde,./1.png
-45.9580738415672,-20.4685574455394,,Clínica Dr. César,,,Saúde,./1.png
-45.9582275387192,-20.4690981543641,,PHD Hospital Dia,,,Saúde,./1.png
-45.9570167815626,-20.4686074024129,,Clínica São Rafael,,,Saúde,./1.png
-45.9570716734026,-20.4686220956078,,Lab. Selma Lopes,,,Saúde,./1.png
-45.9570638317111,-20.469718203987,,Clínicas Médicas,,,Saúde,./1.png
-45.9568803361317,-20.4701185901496,,Lab. Bioanálise,,,Saúde,./1.png
-45.9579287702757,-20.4708069580464,,Lab. Costa Mota,,,Saúde,./1.png
-45.9771175335636,-20.4582073157758,,Piumhi Tênis Clube,,,Esportes,./3.png
-45.9589904847642,-20.4659841243771,,Praça Dr. Avelino de Queiroz,,,Ponto Turístico,./7.png
-45.9563840984869,-20.4587158174719,,Estátua Tatá Tomé,,,Ponto Turístico,./7.png
-45.9728026850824,-20.4619486084037,,Cemitério da Saudade,,,Comércio e Serviços,./4.png
-45.973367456188,-20.4638765606517,,CH Geraldo Sansoni,,,EHIS,./9.png
-45.9670003607134,-20.4594997807889,,CH José Neca da Costa,,,EHIS,./9.png
-45.966515818148,-20.4525153413025,,CH Vicente de Paulo Faria Segundo,,,EHIS,./9.png
-45.9737067834954,-20.4704228848424,,CH Arlindo Soares Barbosa,,,EHIS,./9.png
-45.9702500300832,-20.4816016958798,,CH Dona Nica,,,EHIS,./9.png
-45.9687166412133,-20.4762382512501,,CH Sundário Justino,,,EHIS,./9.png
-45.9472599642414,-20.4627918559272,,Supermercado ABC,,,Supermercado,./2.png
